*rse  [safe: not_safe=0.317, safe=0.683]
dumbfuck  [not safe: not_safe=0.942, safe=0.058]
dumbfucks  [safe: not_safe=0.762, safe=0.238]
dumbshit  [not safe: not_safe=0.991, safe=0.009]
dump a load  [safe: not_safe=0.084, safe=0.916]
dumshit  [safe: not_safe=0.249, safe=0.751]
dune coon  [not safe: not_safe=0.997, safe=0.003]
dupa  [safe: not_safe=0.296, safe=0.704]
dupek  [safe: not_safe=0.788, safe=0.212]
duperele  [not safe: not_safe=0.942, safe=0.058]
dvda  [safe: not_safe=0.032, safe=0.968]
dyefly  [safe: not_safe=0.072, safe=0.928]
dyke  [safe: not_safe=0.474, safe=0.526]
dykes  [not safe: not_safe=0.940, safe=0.060]
dziwka  [safe: not_safe=0.265, safe=0.735]
déconne  [safe: not_safe=0.387, safe=0.613]
déconner  [safe: not_safe=0.061, safe=0.939]
dödel  [not safe: not_safe=0.994, safe=0.006]
earotics  [safe: not_safe=0.519, safe=0.481]
easyslut  [safe: not_safe=0.112, safe=0.888]
eatadick  [safe: not_safe=0.799, safe=0.201]
eatballs  [safe: not_safe=0.005, safe=0.995]
eathairpie  [safe: not_safe=0.011, safe=0.989]
eatme  [not safe: not_safe=0.967, safe=0.033]
eatmyass  [safe: not_safe=0.016, safe=0.984]
eatpussy  [safe: not_safe=0.623, safe=0.377]
ebalnik  [safe: not_safe=0.454, safe=0.546]
ebalo  [safe: not_safe=0.455, safe=0.545]
ecchi  [safe: not_safe=0.175, safe=0.825]
eikel  [safe: not_safe=0.018, safe=0.982]
ejackulate  [safe: not_safe=0.176, safe=0.824]
ejaculate  [safe: not_safe=0.004, safe=0.996]
ejaculated  [safe: not_safe=0.004, safe=0.996]
ejaculates  [safe: not_safe=0.006, safe=0.994]
ejaculating  [safe: not_safe=0.003, safe=0.997]
ejaculatings  [safe: not_safe=0.003, safe=0.997]
ejaculation  [safe: not_safe=0.003, safe=0.997]
ejakulate  [safe: not_safe=0.003, safe=0.997]
ekrem  [safe: not_safe=0.003, safe=0.997]
ekto  [safe: not_safe=0.056, safe=0.944]
emmerdant  [safe: not_safe=0.087, safe=0.913]
emmerder  [safe: not_safe=0.631, safe=0.369]
emmerdeur  [safe: not_safe=0.607, safe=0.393]
emmerdeuse  [not safe: not_safe=0.961, safe=0.039]
enculer  [safe: not_safe=0.751, safe=0.249]
enculer ta mère  [not safe: not_safe=0.995, safe=0.005]
enculeur  [safe: not_safe=0.704, safe=0.296]
enculeurs  [not safe: not_safe=0.976, safe=0.024]
enculé  [safe: not_safe=0.587, safe=0.413]
enculé de ta mère  [not safe: not_safe=0.980, safe=0.020]
enculé de tes morts  [not safe: not_safe=0.990, safe=0.010]
enculée  [safe: not_safe=0.802, safe=0.198]
enema  [safe: not_safe=0.105, safe=0.895]
enfoiré  [safe: not_safe=0.178, safe=0.822]
enfoirée  [safe: not_safe=0.120, safe=0.880]
engerd  [not safe: not_safe=0.829, safe=0.171]
enlargement  [safe: not_safe=0.004, safe=0.996]
erect  [safe: not_safe=0.008, safe=0.992]
erection  [safe: not_safe=0.003, safe=0.997]
erectoplasm  [safe: not_safe=0.007, safe=0.993]
ero  [safe: not_safe=0.459, safe=0.541]
erotic  [safe: not_safe=0.014, safe=0.986]
erotism  [safe: not_safe=0.050, safe=0.950]
escort  [safe: not_safe=0.015, safe=0.985]
escroto  [safe: not_safe=0.426, safe=0.574]
esperma  [safe: not_safe=0.081, safe=0.919]
esporra  [safe: not_safe=0.806, safe=0.194]
espèce de con  [safe: not_safe=0.062, safe=0.938]
esqua  [safe: not_safe=0.065, safe=0.935]
essohbee  [safe: not_safe=0.073, safe=0.927]
estúpido  [safe: not_safe=0.547, safe=0.453]
eunuch  [safe: not_safe=0.432, safe=0.568]
evl  [safe: not_safe=0.053, safe=0.947]
excrement  [safe: not_safe=0.004, safe=0.996]
exkwew  [safe: not_safe=0.104, safe=0.896]
extacy  [safe: not_safe=0.009, safe=0.991]
extasy  [safe: not_safe=0.035, safe=0.965]
f'ed  [safe: not_safe=0.211, safe=0.789]
f'er  [safe: not_safe=0.762, safe=0.238]
f**k  [safe: not_safe=0.239, safe=0.761]
f*ck  [safe: not_safe=0.117, safe=0.883]
f*ckbag  [safe: not_safe=0.120, safe=0.880]
f*ckboy  [safe: not_safe=0.142, safe=0.858]
f*ckface  [safe: not_safe=0.536, safe=0.464]
f*cking  [safe: not_safe=0.014, safe=0.986]
f*cktard  [safe: not_safe=0.446, safe=0.554]
f*ckwit  [safe: not_safe=0.740, safe=0.260]
f*ggot  [safe: not_safe=0.064, safe=0.936]
f*ggt  [safe: not_safe=0.146, safe=0.854]
f*got  [safe: not_safe=0.739, safe=0.261]
f0ck  [safe: not_safe=0.123, safe=0.877]
f0cked  [safe: not_safe=0.695, safe=0.305]
f0cker  [safe: not_safe=0.202, safe=0.798]
f0ckers  [safe: not_safe=0.750, safe=0.250]
f@ck  [safe: not_safe=0.017, safe=0.983]
f@cker  [safe: not_safe=0.009, safe=0.991]
f@g  [safe: not_safe=0.014, safe=0.986]
f@gg0t  [safe: not_safe=0.013, safe=0.987]
f@gging  [safe: not_safe=0.006, safe=0.994]
f@ggot  [safe: not_safe=0.009, safe=0.991]
f@gs  [safe: not_safe=0.017, safe=0.983]
f@gshit  [safe: not_safe=0.012, safe=0.988]
f@k  [safe: not_safe=0.016, safe=0.984]
f_u_c_k  [safe: not_safe=0.467, safe=0.533]
face fuck  [not safe: not_safe=0.994, safe=0.006]
facefucker  [safe: not_safe=0.006, safe=0.994]
fack  [safe: not_safe=0.054, safe=0.946]
fackuhs  [safe: not_safe=0.011, safe=0.989]
faeces  [safe: not_safe=0.622, safe=0.378]
faen  [safe: not_safe=0.782, safe=0.218]
fag  [safe: not_safe=0.088, safe=0.912]
fag asses  [not safe: not_safe=0.956, safe=0.044]
fag bag  [safe: not_safe=0.598, safe=0.402]
fag hag  [not safe: not_safe=0.834, safe=0.166]
fag queen  [not safe: not_safe=0.943, safe=0.057]
fag0t  [safe: not_safe=0.120, safe=0.880]
fagbag  [safe: not_safe=0.041, safe=0.959]
faget  [safe: not_safe=0.006, safe=0.994]
fagfucker  [safe: not_safe=0.236, safe=0.764]
fagg  [safe: not_safe=0.252, safe=0.748]
fagg0t  [safe: not_safe=0.302, safe=0.698]
fagged  [safe: not_safe=0.352, safe=0.648]
fagging  [safe: not_safe=0.005, safe=0.995]
faggit  [safe: not_safe=0.277, safe=0.723]
faggitt  [not safe: not_safe=0.832, safe=0.168]
faggo  [safe: not_safe=0.184, safe=0.816]
faggot  [safe: not_safe=0.499, safe=0.501]
faggot mofoes  [safe: not_safe=0.745, safe=0.255]
faggot mothafuckers  [not safe: not_safe=0.973, safe=0.027]
faggot nob jokeys  [not safe: not_safe=0.920, safe=0.080]
faggot nobjockies  [not safe: not_safe=0.892, safe=0.108]
faggot son-of-a-bitch  [not safe: not_safe=0.987, safe=0.013]
faggotcock  [safe: not_safe=0.664, safe=0.336]
faggoting  [safe: not_safe=0.047, safe=0.953]
faggots  [not safe: not_safe=0.840, safe=0.160]
faggs  [safe: not_safe=0.007, safe=0.993]
faggy  [safe: not_safe=0.309, safe=0.691]
fagit  [safe: not_safe=0.074, safe=0.926]
fagot  [safe: not_safe=0.132, safe=0.868]
fagots  [safe: not_safe=0.116, safe=0.884]
fags  [safe: not_safe=0.019, safe=0.981]
fagshit  [safe: not_safe=0.003, safe=0.997]
fagt  [safe: not_safe=0.287, safe=0.713]
fagtard  [not safe: not_safe=0.914, safe=0.086]
fagz  [safe: not_safe=0.514, safe=0.486]
faig  [safe: not_safe=0.133, safe=0.867]
faigs  [safe: not_safe=0.042, safe=0.958]
faigt  [safe: not_safe=0.033, safe=0.967]
fan  [safe: not_safe=0.148, safe=0.852]
fanculo  [safe: not_safe=0.022, safe=0.978]
fanken  [safe: not_safe=0.067, safe=0.933]
fanny  [safe: not_safe=0.690, safe=0.310]
fannybandit  [safe: not_safe=0.168, safe=0.832]
fannyflaps  [safe: not_safe=0.037, safe=0.963]
fannyfucker  [safe: not_safe=0.670, safe=0.330]
fanyy  [safe: not_safe=0.061, safe=0.939]
fart  [safe: not_safe=0.141, safe=0.859]
fart-fucker  [safe: not_safe=0.506, safe=0.494]
farted  [not safe: not_safe=0.996, safe=0.004]
farting  [safe: not_safe=0.009, safe=0.991]
fartknocker  [not safe: not_safe=0.924, safe=0.076]
farty  [safe: not_safe=0.120, safe=0.880]
fastfuck  [safe: not_safe=0.020, safe=0.980]
fasz  [not safe: not_safe=0.960, safe=0.040]
faszfej  [safe: not_safe=0.352, safe=0.648]
faszfejek  [safe: not_safe=0.136, safe=0.864]
faszfejeket  [safe: not_safe=0.018, safe=0.982]
faszfejet  [safe: not_safe=0.027, safe=0.973]
faszok  [not safe: not_safe=0.933, safe=0.067]
faszokat  [safe: not_safe=0.762, safe=0.238]
faszt  [safe: not_safe=0.150, safe=0.850]
fatah  [safe: not_safe=0.436, safe=0.564]
fatass  [safe: not_safe=0.088, safe=0.912]
fatasses  [not safe: not_safe=0.852, safe=0.148]
fatfuck  [safe: not_safe=0.048, safe=0.952]
fatfucker  [safe: not_safe=0.036, safe=0.964]
fatso  [safe: not_safe=0.690, safe=0.310]
fava  [safe: not_safe=0.753, safe=0.247]
fccuker  [safe: not_safe=0.142, safe=0.858]
fck  [safe: not_safe=0.085, safe=0.915]
fck you  [not safe: not_safe=0.999, safe=0.001]
fcka  [safe: not_safe=0.193, safe=0.807]
fckahz  [safe: not_safe=0.052, safe=0.948]
fckcum  [safe: not_safe=0.203, safe=0.797]
fckd  [safe: not_safe=0.645, safe=0.355]
fcked  [not safe: not_safe=0.855, safe=0.145]
fckedup  [not safe: not_safe=0.944, safe=0.056]
fcker  [safe: not_safe=0.125, safe=0.875]
fckin  [safe: not_safe=0.806, safe=0.194]
fcking  [not safe: not_safe=0.877, safe=0.123]
fckked  [not safe: not_safe=0.989, safe=0.011]
fckking  [not safe: not_safe=0.819, safe=0.181]
fckn  [safe: not_safe=0.220, safe=0.780]
fckr  [safe: not_safe=0.320, safe=0.680]
fcks  [safe: not_safe=0.063, safe=0.937]
fcktard  [not safe: not_safe=0.974, safe=0.026]
fckyeah  [safe: not_safe=0.070, safe=0.930]
fcuk  [safe: not_safe=0.711, safe=0.289]
fcuked  [not safe: not_safe=0.978, safe=0.022]
fcuker  [not safe: not_safe=0.892, safe=0.108]
fcukers  [not safe: not_safe=0.829, safe=0.171]
fcuking  [safe: not_safe=0.018, safe=0.982]
fcukker  [safe: not_safe=0.169, safe=0.831]
fcuks  [not safe: not_safe=0.824, safe=0.176]
fcvking  [safe: not_safe=0.006, safe=0.994]
fecal  [safe: not_safe=0.045, safe=0.955]
feces  [not safe: not_safe=0.996, safe=0.004]
feck  [safe: not_safe=0.507, safe=0.493]
feck arse  [safe: not_safe=0.195, safe=0.805]
fecker  [safe: not_safe=0.699, safe=0.301]
feg  [safe: not_safe=0.098, safe=0.902]
fek  [safe: not_safe=0.425, safe=0.575]
feken  [not safe: not_safe=0.976, safe=0.024]
fekfikanto  [safe: not_safe=0.002, safe=0.998]
feklekulo  [safe: not_safe=0.140, safe=0.860]
fekulo  [safe: not_safe=0.049, safe=0.951]
felatio  [safe: not_safe=0.077, safe=0.923]
felch  [safe: not_safe=0.804, safe=0.196]
felcher  [not safe: not_safe=0.918, safe=0.082]
felching  [safe: not_safe=0.043, safe=0.957]
fellate  [not safe: not_safe=0.959, safe=0.041]
fellatio  [safe: not_safe=0.007, safe=0.993]
fellatio aficionado  [safe: not_safe=0.004, safe=0.996]
fellator  [safe: not_safe=0.004, safe=0.996]
feltch  [not safe: not_safe=0.990, safe=0.010]
feltcher  [not safe: not_safe=0.990, safe=0.010]
feltching  [safe: not_safe=0.764, safe=0.236]
femalesquirtin  [safe: not_safe=0.500, safe=0.500]
femalesquirting  [safe: not_safe=0.076, safe=0.924]
femdom  [safe: not_safe=0.460, safe=0.540]
femminuccia  [safe: not_safe=0.647, safe=0.353]
fetish  [safe: not_safe=0.009, safe=0.991]
fggt  [safe: not_safe=0.084, safe=0.916]
fica  [safe: not_safe=0.059, safe=0.941]
fick  [not safe: not_safe=0.902, safe=0.098]
ficken  [not safe: not_safe=0.976, safe=0.024]
figa  [safe: not_safe=0.049, safe=0.951]
figging  [safe: not_safe=0.004, safe=0.996]
figone  [safe: not_safe=0.338, safe=0.662]
fik  [not safe: not_safe=0.864, safe=0.136]
fikado  [safe: not_safe=0.143, safe=0.857]
fikema  [not safe: not_safe=0.817, safe=0.183]
fikfek  [safe: not_safe=0.170, safe=0.830]
fiki  [not safe: not_safe=0.814, safe=0.186]
fikilo  [safe: not_safe=0.719, safe=0.281]
fikiĝi  [not safe: not_safe=0.894, safe=0.106]
fikiĝu  [not safe: not_safe=0.894, safe=0.106]
fikklaŭno  [not safe: not_safe=0.989, safe=0.011]
fikota  [not safe: not_safe=0.888, safe=0.112]
fiku  [not safe: not_safe=0.940, safe=0.060]
filho da puta  [safe: not_safe=0.178, safe=0.822]
fils de chien  [safe: not_safe=0.526, safe=0.474]
fils de pute  [not safe: not_safe=0.996, safe=0.004]
fils de ta mère  [not safe: not_safe=0.957, safe=0.043]
fing  [safe: not_safe=0.168, safe=0.832]
finger  [not safe: not_safe=0.905, safe=0.095]
finger fuck  [not safe: not_safe=0.995, safe=0.005]
fingerbang  [safe: not_safe=0.408, safe=0.592]
fingerbanged  [not safe: not_safe=0.985, safe=0.015]
fingerfood  [safe: not_safe=0.041, safe=0.959]
fingerfuck  [not safe: not_safe=0.967, safe=0.033]
fingerfucked  [not safe: not_safe=0.994, safe=0.006]
fingerfucker  [not safe: not_safe=0.916, safe=0.084]
fingerfuckers  [not safe: not_safe=0.924, safe=0.076]
fingerfucking  [not safe: not_safe=0.989, safe=0.011]
fingerfucks  [not safe: not_safe=0.916, safe=0.084]
fingering  [not safe: not_safe=0.989, safe=0.011]
fingerpop  [safe: not_safe=0.025, safe=0.975]
fingok  [safe: not_safe=0.185, safe=0.815]
fingokat  [safe: not_safe=0.059, safe=0.941]
fingot  [safe: not_safe=0.700, safe=0.300]
finocchio  [not safe: not_safe=0.838, safe=0.162]
fiotte  [not safe: not_safe=0.972, safe=0.028]
fisse  [not safe: not_safe=0.993, safe=0.007]
fissehår  [safe: not_safe=0.021, safe=0.979]
fisted  [safe: not_safe=0.018, safe=0.982]
fister  [safe: not_safe=0.648, safe=0.352]
fistfuck  [safe: not_safe=0.048, safe=0.952]
fistfucked  [safe: not_safe=0.192, safe=0.808]
fistfucker  [safe: not_safe=0.065, safe=0.935]
fistfuckers  [safe: not_safe=0.231, safe=0.769]
fistfucking  [safe: not_safe=0.042, safe=0.958]
fistfuckings  [not safe: not_safe=0.981, safe=0.019]
fistfucks  [safe: not_safe=0.019, safe=0.981]
fisting  [safe: not_safe=0.003, safe=0.997]
fisty  [safe: not_safe=0.065, safe=0.935]
fitt  [safe: not_safe=0.061, safe=0.939]
fitta  [not safe: not_safe=0.993, safe=0.007]
fitte  [not safe: not_safe=0.992, safe=0.008]
fittig  [safe: not_safe=0.015, safe=0.985]
fiut  [not safe: not_safe=0.975, safe=0.025]
fkbny  [safe: not_safe=0.073, safe=0.927]
fked  [safe: not_safe=0.514, safe=0.486]
fker  [not safe: not_safe=0.949, safe=0.051]
fking  [safe: not_safe=0.045, safe=0.955]
fkings  [safe: not_safe=0.663, safe=0.337]
fkk  [safe: not_safe=0.173, safe=0.827]
fkker  [safe: not_safe=0.602, safe=0.398]
flamer  [safe: not_safe=0.108, safe=0.892]
flamers  [not safe: not_safe=0.991, safe=0.009]
flamoes  [safe: not_safe=0.640, safe=0.360]
flange  [not safe: not_safe=0.996, safe=0.004]
flasher  [safe: not_safe=0.022, safe=0.978]
flikken  [safe: not_safe=0.007, safe=0.993]
flikker  [safe: not_safe=0.005, safe=0.995]
flipping  [safe: not_safe=0.016, safe=0.984]
flittchen  [not safe: not_safe=0.955, safe=0.045]
flogthelog  [safe: not_safe=0.024, safe=0.976]
floo  [not safe: not_safe=0.942, safe=0.058]
floozy  [safe: not_safe=0.797, safe=0.203]
flundra  [safe: not_safe=0.131, safe=0.869]
flydie  [safe: not_safe=0.081, safe=0.919]
flydye  [not safe: not_safe=0.968, safe=0.032]
foad  [safe: not_safe=0.089, safe=0.911]
focker  [not safe: not_safe=0.962, safe=0.038]
foda  [not safe: not_safe=0.989, safe=0.011]
foder  [not safe: not_safe=0.959, safe=0.041]
fok  [safe: not_safe=0.099, safe=0.901]
follador  [safe: not_safe=0.037, safe=0.963]
follar  [safe: not_safe=0.022, safe=0.978]
folle  [safe: not_safe=0.445, safe=0.555]
fondle  [not safe: not_safe=0.984, safe=0.016]
foobar  [safe: not_safe=0.014, safe=0.986]
fook  [safe: not_safe=0.003, safe=0.997]
fooker  [not safe: not_safe=0.996, safe=0.004]
fookuh  [not safe: not_safe=0.995, safe=0.005]
footaction  [safe: not_safe=0.002, safe=0.998]
footfetish  [safe: not_safe=0.181, safe=0.819]
footfuck  [safe: not_safe=0.402, safe=0.598]
footfucker  [safe: not_safe=0.138, safe=0.862]
footjob  [safe: not_safe=0.019, safe=0.981]
footlicker  [safe: not_safe=0.747, safe=0.253]
footstar  [safe: not_safe=0.003, safe=0.997]
forbanna  [safe: not_safe=0.015, safe=0.985]
forbannet  [safe: not_safe=0.010, safe=0.990]
foreskin  [safe: not_safe=0.794, safe=0.206]
forfiki  [safe: not_safe=0.032, safe=0.968]
forfikiĝu  [not safe: not_safe=0.894, safe=0.106]
forfiku  [safe: not_safe=0.026, safe=0.974]
forfurzu  [not safe: not_safe=0.964, safe=0.036]
forjævlig  [safe: not_safe=0.081, safe=0.919]
forked  [not safe: not_safe=0.986, safe=0.014]
forni  [not safe: not_safe=0.990, safe=0.010]
fornicate  [safe: not_safe=0.360, safe=0.640]
forpisi  [safe: not_safe=0.730, safe=0.270]
forpisu  [safe: not_safe=0.008, safe=0.992]
fothermuckers  [safe: not_safe=0.663, safe=0.337]
fottere  [not safe: not_safe=0.991, safe=0.009]
fottersi  [not safe: not_safe=0.953, safe=0.047]
fotze  [safe: not_safe=0.017, safe=0.983]
foursome  [safe: not_safe=0.471, safe=0.529]
fourtwenty  [not safe: not_safe=0.983, safe=0.017]
foutre  [not safe: not_safe=0.987, safe=0.013]
foutu  [not safe: not_safe=0.904, safe=0.096]
foutue  [not safe: not_safe=0.996, safe=0.004]
fracicone  [safe: not_safe=0.047, safe=0.953]
franc  [safe: not_safe=0.299, safe=0.701]
francok  [safe: not_safe=0.201, safe=0.799]
francokat  [safe: not_safe=0.086, safe=0.914]
francot  [safe: not_safe=0.552, safe=0.448]
fratze  [safe: not_safe=0.538, safe=0.462]
freakfuck  [safe: not_safe=0.652, safe=0.348]
freakyfucker  [safe: not_safe=0.722, safe=0.278]
freefuck  [safe: not_safe=0.013, safe=0.987]
freex  [safe: not_safe=0.063, safe=0.937]
fregna  [not safe: not_safe=0.925, safe=0.075]
frigg  [safe: not_safe=0.091, safe=0.909]
frigga  [safe: not_safe=0.009, safe=0.991]
frigger  [not safe: not_safe=0.960, safe=0.040]
frocio  [safe: not_safe=0.313, safe=0.687]
froscio  [not safe: not_safe=0.974, safe=0.026]
frotting  [safe: not_safe=0.019, safe=0.981]
fubar  [safe: not_safe=0.202, safe=0.798]
fuc  [safe: not_safe=0.345, safe=0.655]
fucc  [safe: not_safe=0.623, safe=0.377]
fucca  [not safe: not_safe=0.896, safe=0.104]
fuccers  [not safe: not_safe=0.867, safe=0.133]
fuccing  [not safe: not_safe=0.957, safe=0.043]
fucck  [safe: not_safe=0.278, safe=0.722]
fuccs  [safe: not_safe=0.439, safe=0.561]
fuchah  [safe: not_safe=0.019, safe=0.981]
fuck  [not safe: not_safe=0.973, safe=0.027]
fuck arse  [not safe: not_safe=0.977, safe=0.023]
fuck face  [not safe: not_safe=0.998, safe=0.002]
fuck faces  [not safe: not_safe=0.998, safe=0.002]
fuck goblin  [not safe: not_safe=0.997, safe=0.003]
fuck head  [not safe: not_safe=0.997, safe=0.003]
fuck off  [not safe: not_safe=0.998, safe=0.002]
fuck up  [not safe: not_safe=0.998, safe=0.002]
fuck y0u  [safe: not_safe=0.478, safe=0.522]
fuck you  [not safe: not_safe=0.999, safe=0.001]
fuck your  [not safe: not_safe=0.999, safe=0.001]
fuck your mother  [not safe: not_safe=0.999, safe=0.001]
fucka  [not safe: not_safe=0.840, safe=0.160]
fuckable  [not safe: not_safe=0.995, safe=0.005]
fuckahs  [safe: not_safe=0.776, safe=0.224]
fuckass  [not safe: not_safe=0.988, safe=0.012]
fuckasses  [not safe: not_safe=0.995, safe=0.005]
fuckaz  [not safe: not_safe=0.878, safe=0.122]
fuckbag  [safe: not_safe=0.159, safe=0.841]
fuckball  [safe: not_safe=0.025, safe=0.975]
fuckbasket  [safe: not_safe=0.381, safe=0.619]
fuckbitch  [not safe: not_safe=0.995, safe=0.005]
fuckbook  [safe: not_safe=0.008, safe=0.992]
fuckboy  [not safe: not_safe=0.951, safe=0.049]
fuckbrain  [not safe: not_safe=0.932, safe=0.068]
fuckbubble  [not safe: not_safe=0.966, safe=0.034]
fuckbucket  [not safe: not_safe=0.908, safe=0.092]
fuckbuddy  [not safe: not_safe=0.971, safe=0.029]
fuckbutt  [not safe: not_safe=0.995, safe=0.005]
fuckbutter  [not safe: not_safe=0.970, safe=0.030]
fuckd  [not safe: not_safe=0.998, safe=0.002]
fucked  [not safe: not_safe=0.994, safe=0.006]
fucked up  [not safe: not_safe=0.998, safe=0.002]
fuckedup  [not safe: not_safe=0.993, safe=0.007]
fuckem  [not safe: not_safe=0.993, safe=0.007]
fucker  [safe: not_safe=0.673, safe=0.327]
fucker off  [not safe: not_safe=0.998, safe=0.002]
fuckers  [not safe: not_safe=0.970, safe=0.030]
fuckersucker  [safe: not_safe=0.480, safe=0.520]
fuckface  [not safe: not_safe=0.997, safe=0.003]
fuckfaces  [not safe: not_safe=0.998, safe=0.002]
fuckfest  [not safe: not_safe=0.937, safe=0.063]
fuckfreak  [not safe: not_safe=0.968, safe=0.032]
fuckfriend  [not safe: not_safe=0.975, safe=0.025]
fuckhead  [not safe: not_safe=0.994, safe=0.006]
fuckheaded  [not safe: not_safe=0.998, safe=0.002]
fuckheads  [not safe: not_safe=0.995, safe=0.005]
fuckher  [not safe: not_safe=0.991, safe=0.009]
fuckhole  [not safe: not_safe=0.997, safe=0.003]
fuckin  [not safe: not_safe=0.951, safe=0.049]
fuckina  [not safe: not_safe=0.826, safe=0.174]
fucking  [not safe: not_safe=0.970, safe=0.030]
fucking A  [not safe: not_safe=0.874, safe=0.126]
fucking asshole  [not safe: not_safe=0.997, safe=0.003]
fucking bastard  [not safe: not_safe=0.998, safe=0.002]
fucking hell  [not safe: not_safe=0.998, safe=0.002]
fucking me  [not safe: not_safe=0.998, safe=0.002]
fucking retard  [not safe: not_safe=0.997, safe=0.003]
fucking shit  [not safe: not_safe=0.997, safe=0.003]
fuckingbitch  [not safe: not_safe=0.993, safe=0.007]
fuckings  [not safe: not_safe=0.998, safe=0.002]
fuckingshitmotherfucker  [safe: not_safe=0.382, safe=0.618]
fuckinnuts  [safe: not_safe=0.790, safe=0.210]
fuckinright  [safe: not_safe=0.235, safe=0.765]
fuckit  [not safe: not_safe=0.959, safe=0.041]
fuckk  [not safe: not_safe=0.984, safe=0.016]
fuckknob  [not safe: not_safe=0.957, safe=0.043]
fuckknuckle  [not safe: not_safe=0.996, safe=0.004]
fuckless  [not safe: not_safe=0.983, safe=0.017]
fuckmachine  [not safe: not_safe=0.989, safe=0.011]
fuckme  [not safe: not_safe=0.996, safe=0.004]
fuckmeat  [not safe: not_safe=0.929, safe=0.071]
fuckmehard  [safe: not_safe=0.054, safe=0.946]
fuckmonkey  [safe: not_safe=0.200, safe=0.800]
fuckn  [not safe: not_safe=0.992, safe=0.008]
fucknuckle  [not safe: not_safe=0.997, safe=0.003]
fucknugget  [not safe: not_safe=0.991, safe=0.009]
fucknut  [not safe: not_safe=0.992, safe=0.008]
fucknuts  [not safe: not_safe=0.995, safe=0.005]
fucknutt  [not safe: not_safe=0.996, safe=0.004]
fucknutz  [not safe: not_safe=0.970, safe=0.030]
fuckoff  [safe: not_safe=0.489, safe=0.511]
fuckpig  [not safe: not_safe=0.981, safe=0.019]
fuckpuppet  [safe: not_safe=0.796, safe=0.204]
fuckr  [not safe: not_safe=0.994, safe=0.006]
fucks  [not safe: not_safe=0.951, safe=0.049]
fuckshit  [not safe: not_safe=0.994, safe=0.006]
fuckshitface  [not safe: not_safe=0.995, safe=0.005]
fuckshithead  [not safe: not_safe=0.982, safe=0.018]
fuckstar  [safe: not_safe=0.767, safe=0.233]
fuckster  [not safe: not_safe=0.981, safe=0.019]
fuckstick  [safe: not_safe=0.527, safe=0.473]
fucktard  [not safe: not_safe=0.979, safe=0.021]
fucktards  [not safe: not_safe=0.856, safe=0.144]
fucktart  [safe: not_safe=0.720, safe=0.280]
fucktoy  [not safe: not_safe=0.954, safe=0.046]
fucktrophy  [safe: not_safe=0.053, safe=0.947]
fuckup  [not safe: not_safe=0.892, safe=0.108]
fuckwad  [not safe: not_safe=0.983, safe=0.017]
fuckwhistle  [not safe: not_safe=0.996, safe=0.004]
fuckwhit  [not safe: not_safe=0.997, safe=0.003]
fuckwhore  [not safe: not_safe=0.998, safe=0.002]
fuckwit  [not safe: not_safe=0.990, safe=0.010]
fuckwitt  [not safe: not_safe=0.994, safe=0.006]
fuckyomama  [safe: not_safe=0.062, safe=0.938]
fuckyou  [not safe: not_safe=0.992, safe=0.008]
fucs  [safe: not_safe=0.105, safe=0.895]
fucx  [safe: not_safe=0.624, safe=0.376]
fudgefucker  [safe: not_safe=0.025, safe=0.975]
fudgepacker  [safe: not_safe=0.019, safe=0.981]
fudgepackers  [safe: not_safe=0.006, safe=0.994]
fudgepackershitter  [safe: not_safe=0.107, safe=0.893]
fudgepacking fucker  [safe: not_safe=0.138, safe=0.862]
fugged  [not safe: not_safe=0.945, safe=0.055]
fugger  [not safe: not_safe=0.891, safe=0.109]
fuggerz  [safe: not_safe=0.772, safe=0.228]
fuggings  [safe: not_safe=0.009, safe=0.991]
fugly  [not safe: not_safe=0.987, safe=0.013]
fuk  [safe: not_safe=0.196, safe=0.804]
fuk1n  [safe: not_safe=0.048, safe=0.952]
fuk1ng  [safe: not_safe=0.194, safe=0.806]
fukah  [safe: not_safe=0.584, safe=0.416]
fukcs  [safe: not_safe=0.154, safe=0.846]
fuken  [not safe: not_safe=0.959, safe=0.041]
fuker  [safe: not_safe=0.730, safe=0.270]
fukheads  [safe: not_safe=0.026, safe=0.974]
fukin  [not safe: not_safe=0.947, safe=0.053]
fuking  [safe: not_safe=0.129, safe=0.871]
fukk  [safe: not_safe=0.414, safe=0.586]
fukka  [safe: not_safe=0.541, safe=0.459]
fukkah  [safe: not_safe=0.280, safe=0.720]
fukked  [not safe: not_safe=0.995, safe=0.005]
fukken  [not safe: not_safe=0.980, safe=0.020]
fukker  [safe: not_safe=0.440, safe=0.560]
fukkers  [safe: not_safe=0.764, safe=0.236]
fukkin  [not safe: not_safe=0.983, safe=0.017]
fukking  [safe: not_safe=0.006, safe=0.994]
fukkings  [safe: not_safe=0.009, safe=0.991]
fukkuh  [safe: not_safe=0.435, safe=0.565]
fuks  [safe: not_safe=0.164, safe=0.836]
fuktard  [safe: not_safe=0.105, safe=0.895]
fuktards  [safe: not_safe=0.244, safe=0.756]
fuku  [safe: not_safe=0.018, safe=0.982]
fukwhit  [not safe: not_safe=0.979, safe=0.021]
fukwhore  [safe: not_safe=0.805, safe=0.195]
fukwit  [safe: not_safe=0.541, safe=0.459]
full of shit  [not safe: not_safe=0.998, safe=0.002]
funbags  [safe: not_safe=0.009, safe=0.991]
